module,start,end_exclusive,size
vblank,0x0150,0x032E,478
delay,0x032E,0x0343,21
time_palettes,0x0343,0x0377,52
fade,0x0377,0x041B,164
lcd,0x041B,0x045B,64
time,0x045B,0x05B0,341
init,0x05B0,0x06AA,250
serial,0x06AA,0x08DF,565
joypad,0x08DF,0x0AF0,529
decompress,0x0AF0,0x0BDF,239
palettes,0x0BDF,0x0D70,401
gfx,0x0D70,0x0EEF,383
text,0x0EEF,0x1458,1385
video,0x1458,0x169C,580
map_objects,0x169C,0x19AC,784
sine,0x19AC,0x19BB,15
movement,0x19BB,0x1A4E,147
menu,0x1A4E,0x1EB3,1125
printer,0x1EB3,0x1EE6,51
game_time,0x1EE6,0x1F5D,119
map,0x1F5D,0x2E27,3786
farcall,0x2E27,0x2E49,34
predef,0x2E49,0x2E80,55
window,0x2E80,0x2F2F,175
flag,0x2F2F,0x2F93,100
sprite_updates,0x2F93,0x2FB6,35
string,0x2FB6,0x2FD7,33
region,0x2FD7,0x3055,126
item,0x3055,0x30A2,77
random,0x30A2,0x30E1,63
sram,0x30E1,0x30FC,27
call_regs,0x30FC,0x30FF,3
clear_sprites,0x30FF,0x311A,27
copy,0x311A,0x3158,62
copy_tilemap,0x3158,0x317B,35
copy_name,0x317B,0x3186,11
array,0x3186,0x31A3,29
math,0x31A3,0x31E2,63
print_text,0x31E2,0x3423,577
queue_script,0x3423,0x3431,14
compare,0x3431,0x3449,24
tilemap,0x3449,0x35C3,378
pokedex_flags,0x35C3,0x35EE,43
names,0x35EE,0x3751,355
scrolling_menu,0x3751,0x37AC,91
stone_queue,0x37AC,0x3844,152
trainers,0x3844,0x39BA,374
pokemon,0x39BA,0x3ADE,292
print_bcd,0x3ADE,0x3B3A,92
battle,0x3B3A,0x3D0D,467
sprite_anims,0x3D0D,0x3D4F,66
audio,0x3D4F,0x4000,689
