release,bank,size,sha1,sha256,entry_0100_0103,title_raw,title_ascii,game_code,cgb_flag,sgb_flag,cart_type,rom_size_code,ram_size_code,destination,version,header_checksum,global_checksum
jp-rev0,00,16384,4f67b272f43a254d14fa1b1075a78167ab06ef49,9b027ca15c252f77ac62534216e26c03a49cae3eddbc934c047cebe7c923974f,00C3C505,504F4B454D4F4E5F474C444141554A,POKEMON_GLDAAUJ,AAUJ,80,03,10,05,03,00,00,48,8A70
jp-revA,00,16384,8c9834794c7fa66fdb39dcbbbc8fc4b89936be81,533bfe1ce13009ab2d4f4ef165276d4c298202d3387d394b241b95ba9fb95eee,00C3C505,504F4B454D4F4E5F474C444141554A,POKEMON_GLDAAUJ,AAUJ,80,03,10,05,03,00,01,47,8460
kr,00,16384,c4663c8a646657dcc0b96722f0976432958a2243,cbebaf04154f994afc91c153f49ac7f4207ee5d1c88c347d476e327ba07d06c3,00C3CA05,504F4B454D4F4E5F474C444141554B,POKEMON_GLDAAUK,AAUK,C0,00,10,06,03,01,00,08,778A
en,00,16384,f8fc41c03e5260dfb9a0d9c17f116020608ab5d5,20065977882657385a709e9cb340d2f597aa6ee7aec7c06be5c3ec3d814a24fd,00C3C605,504F4B454D4F4E5F474C4441415545,POKEMON_GLDAAUE,AAUE,80,03,10,06,03,01,00,4B,682D
de,00,16384,414b7cbc2347aa7665be19f5fcbbe23132a808f7,ccccbb2c00e79281e60593964c265fcb350134dcdd3c1d260155f91f5f29c3a2,00C3C605,504F4B454D4F4E5F474C4441415544,POKEMON_GLDAAUD,AAUD,80,03,10,06,03,01,00,4C,DC97
fr,00,16384,8a7f9e3ad51cb058a863317e2a956760c642d3d6,bc325f3bf750c1270ed4edf5204d916a6c6219ef4f8459faad5945d58163c89e,00C3C605,504F4B454D4F4E5F474C4441415546,POKEMON_GLDAAUF,AAUF,80,03,10,06,03,01,00,4A,6FC6
it,00,16384,7d94545baea24182ec2f75f907f9f7d9988fd79b,0adffc4b587a6ac718a0970d9060f3e9e9915581c0c8da5cf57a1391707bddd2,00C3C605,504F4B454D4F4E5F474C4441415549,POKEMON_GLDAAUI,AAUI,80,03,10,06,03,01,00,47,CE0C
es,00,16384,cdfe4549f5a04f113ce9a76e7ef6fa9741ac4e58,432cd1b736c4470e8ae7a810e12bef874f3271fcf44b87743016961960fbd17f,00C3C605,504F4B454D4F4E5F474C4441415553,POKEMON_GLDAAUS,AAUS,80,03,10,06,03,01,00,3D,9353
