symbol,start,end_exclusive,size,role,hex_signature
ClearBox,0x0ECF,0x0EE6,23,farcall_reg wrapper for _ClearBox,3B E5 F5 E5 F8 06 36 7F 2B 36 40 2B 36 8D E1 F1 CD 73 2E 33 33 33 C9
Textbox,0x0F12,0x0F29,23,farcall_reg wrapper for _Textbox,3B E5 F5 E5 F8 06 36 7F 2B 36 40 2B 36 B8 E1 F1 CD 73 2E 33 33 33 C9
TextboxPalette,0x0F29,0x0F40,23,farcall_reg wrapper for _TextboxPalette,3B E5 F5 E5 F8 06 36 7F 2B 36 40 2B 36 FF E1 F1 CD 73 2E 33 33 33 C9
CheckDictDoubleByteDispatch,0x0F7E,0x0F83,5,dispatch bytes below 0x0C to DoubleByteChar,FE 0C DA 29 12
DoubleByteChar,0x1229,0x1249,32,consume second Hangul byte and farcall PlaceDoubleByteChar,47 13 1A 4F 3B E5 F5 E5 F8 06 36 7F 2B 36 41 2B 36 19 E1 F1 CD 73 2E 33 33 33 CD 80 32 C3 7A 0F
TextScroll,0x1249,0x1260,23,farcall_reg wrapper for _TextScroll,3B E5 F5 E5 F8 06 36 7F 2B 36 41 2B 36 4E E1 F1 CD 73 2E 33 33 33 C9
SetStandardHangulFont,0x1470,0x1480,16,select standard Hangul font rendering,F3 3E 02 E0 70 3E 00 EA 20 D1 3E 01 E0 70 FB C9
SetInvertedHangulFont,0x1480,0x1490,16,select inverted Hangul font rendering,F3 3E 02 E0 70 3E FF EA 20 D1 3E 01 E0 70 FB C9
ToggleHangulFont,0x1490,0x14A2,18,toggle Hangul inversion state,F3 3E 02 E0 70 FA 20 D1 2F EA 20 D1 3E 01 E0 70 FB C9
TrimUnusedHangulChars,0x14C1,0x14D8,23,farcall_reg wrapper for _TrimUnusedHangulChars,3B E5 F5 E5 F8 06 36 7F 2B 36 41 2B 36 80 E1 F1 CD 73 2E 33 33 33 C9
FindNextEmptyHangulSlot,0x14D8,0x14EF,23,farcall_reg wrapper for _FindNextEmptyHangulSlot,3B E5 F5 E5 F8 06 36 7F 2B 36 41 2B 36 CB E1 F1 CD 73 2E 33 33 33 C9
IsHangulCharDrawn,0x14EF,0x1506,23,farcall_reg wrapper for _IsHangulCharDrawn,3B E5 F5 E5 F8 06 36 7F 2B 36 41 2B 36 F2 E1 F1 CD 73 2E 33 33 33 C9
DrawHangulChar,0x1506,0x151F,25,preserve DE around farcall_reg _DrawHangulChar,D5 3B E5 F5 E5 F8 06 36 7F 2B 36 42 2B 36 25 E1 F1 CD 73 2E 33 33 33 D1 C9
PrepareVDMAData,0x151F,0x153F,32,convert two-tile 1bpp Hangul source to 2bpp with optional inversion,F0 9F F5 78 D7 F3 3E 02 E0 70 FA 20 D1 47 0E 10 1A 13 A8 22 22 0D 20 F8 3E 01 E0 70 FB F1 D7 C9
