symbol,en,de,de_confidence,fr,fr_confidence,it,it_confidence,es,es_confidence
LineChar,0x117F,0x1193,exact,0x1180,exact,0x1190,exact,0x1193,exact
Paragraph,0x1187,0x119B,exact,0x1188,exact,0x1198,exact,0x119B,exact
_ContText,0x11B0,0x11C9,exact,0x11B6,exact,0x11C6,exact,0x11C9,exact
_ContTextNoPause,0x11C8,0x11E1,exact,0x11CE,exact,0x11DE,exact,0x11E1,exact
ContText,0x11D6,0x11EF,exact,0x11DC,exact,0x11EC,exact,0x11EF,exact
PlaceDexEnd,0x11E7,0x1200,exact,0x11ED,exact,0x11FD,exact,0x1200,exact
PromptText,0x11EB,0x1204,exact,0x11F1,exact,0x1201,exact,0x1204,exact
DoneText,0x1205,0x121E,exact,0x120B,exact,0x121B,exact,0x121E,exact
NullChar,0x120C,0x1225,exact,0x1212,exact,0x1222,exact,0x1225,exact
TextScroll,0x121D,0x1236,exact,0x1223,exact,0x1233,exact,0x1236,exact
Text_WaitBGMap,0x123A,0x1253,exact,0x1240,exact,0x1250,exact,0x1253,exact
Diacritic,0x124A,0x1263,near_prev,0x1250,near_prev,0x1260,near_prev,0x1263,near_prev
LoadBlinkingCursor,0x1255,0x126E,exact,0x125B,exact,0x126B,exact,0x126E,exact
UnloadBlinkingCursor,0x125B,0x1274,exact,0x1261,exact,0x1271,exact,0x1274,exact
PlaceFarString,0x1261,0x127A,exact,0x1267,exact,0x1277,exact,0x127A,exact
PokeFluteTerminator,0x126D,0x1286,exact,0x1273,exact,0x1283,exact,0x1286,exact
PrintTextboxTextAt,0x1272,0x128B,exact,0x1278,exact,0x1288,exact,0x128B,exact
DoTextUntilTerminator,0x1283,0x129C,exact,0x1289,exact,0x1299,exact,0x129C,exact
TextCommands,0x129D,0x12AC,inferred_same_delta,0x1299,inferred_same_delta,0x12A9,inferred_same_delta,0x12AC,inferred_same_delta
TextCommand_START,0x12CB,0x12DA,exact,0x12C7,exact,0x12D7,exact,0x12DA,exact
TextCommand_RAM,0x12D6,0x12E5,exact,0x12D2,exact,0x12E2,exact,0x12E5,exact
TextCommand_FAR,0x12E2,0x12F1,exact,0x12DE,exact,0x12EE,exact,0x12F1,exact
TextCommand_BCD,0x12FD,0x130C,exact,0x12F9,exact,0x1309,exact,0x130C,exact
TextCommand_MOVE,0x130D,0x131C,exact,0x1309,exact,0x1319,exact,0x131C,exact
TextCommand_BOX,0x1318,0x1327,exact,0x1314,exact,0x1324,exact,0x1327,exact
TextCommand_LOW,0x1328,0x1337,exact,0x1324,exact,0x1334,exact,0x1337,exact
TextCommand_PROMPT_BUTTON,0x132C,0x133B,exact,0x1328,exact,0x1338,exact,0x133B,exact
TextCommand_SCROLL,0x1342,0x1351,exact,0x133E,exact,0x134E,exact,0x1351,exact
TextCommand_START_ASM,0x1351,0x1360,exact,0x134D,exact,0x135D,exact,0x1360,exact
TextCommand_DECIMAL,0x1352,0x1361,exact,0x134E,exact,0x135E,exact,0x1361,exact
TextCommand_PAUSE,0x136D,0x137C,exact,0x1369,exact,0x1379,exact,0x137C,exact
TextCommand_SOUND,0x1380,0x138F,exact,0x137C,exact,0x138C,exact,0x138F,exact
TextCommand_CRY,0x13A2,0x13B1,exact,0x139E,exact,0x13AE,exact,0x13B1,exact
TextSFX,0x13AD,0x13BC,exact,0x13A9,exact,0x13B9,exact,0x13BC,exact
TextCommand_DOTS,0x13C3,0x13D2,exact,0x13BF,exact,0x13CF,exact,0x13D2,exact
TextCommand_WAIT_BUTTON,0x13E2,0x13F1,exact,0x13DE,exact,0x13EE,exact,0x13F1,exact
TextCommand_STRINGBUFFER,0x13EA,0x13F9,exact,0x13E6,exact,0x13F6,exact,0x13F9,exact
TextCommand_DAY,0x1402,0x1411,exact,0x13FE,exact,0x140E,exact,0x1411,exact
WeekdayPointers,0x1422,0x1431,inferred_same_delta,0x141E,inferred_same_delta,0x142E,inferred_same_delta,0x1431,inferred_same_delta
WeekdaySunday,0x1430,0x143F,exact,0x142A,near_prev,0x143C,near_prev,0x143F,near_prev
TextEnd,0x1458,0x147C,exact,0x1461,exact,0x1476,exact,0x1475,exact
