symbol,en,de,de_confidence,fr,fr_confidence,it,it_confidence,es,es_confidence
ClearBox,0x0EBD,0x0EBD,exact,0x0EBD,exact,0x0EBD,exact,0x0EBD,exact
ClearTilemap,0x0ECF,0x0ECF,exact,0x0ECF,exact,0x0ECF,exact,0x0ECF,exact
ClearScreen,0x0EE2,0x0EE2,exact,0x0EE2,exact,0x0EE2,exact,0x0EE2,exact
Textbox,0x0EEF,0x0EEF,exact,0x0EEF,exact,0x0EEF,exact,0x0EEF,exact
TextboxBorder,0x0EF8,0x0EF8,exact,0x0EF8,exact,0x0EF8,exact,0x0EF8,exact
TextboxPalette,0x0F2B,0x0F2B,exact,0x0F2B,exact,0x0F2B,exact,0x0F2B,exact
SpeechTextbox,0x0F45,0x0F45,exact,0x0F45,exact,0x0F45,exact,0x0F45,exact
GameFreakText,0x0F4F,0x0F4F,exact,0x0F4F,exact,0x0F4F,exact,0x0F4F,exact
RadioTerminator,0x0F59,0x0F59,exact,0x0F59,exact,0x0F59,exact,0x0F59,exact
PrintText,0x0F5E,0x0F5E,exact,0x0F5E,exact,0x0F5E,exact,0x0F5E,exact
PrintTextboxText,0x0F61,0x0F61,exact,0x0F61,exact,0x0F61,exact,0x0F61,exact
SetUpTextbox,0x0F68,0x0F68,exact,0x0F68,exact,0x0F68,exact,0x0F68,exact
PlaceString,0x0F74,0x0F74,exact,0x0F74,exact,0x0F74,exact,0x0F74,exact
PlaceNextChar,0x0F75,0x0F75,exact,0x0F75,exact,0x0F75,exact,0x0F75,exact
DummyChar,0x0F7E,0x0F7E,exact,0x0F7E,exact,0x0F7E,exact,0x0F7E,exact
NextChar,0x0F7F,0x0F7F,exact,0x0F7F,exact,0x0F7F,exact,0x0F7F,exact
CheckDict,0x0F83,0x0F83,exact,0x0F83,exact,0x0F83,exact,0x0F83,exact
PrintMomsName,0x1066,0x1072,exact,0x1068,exact,0x1072,exact,0x1072,exact
PrintPlayerName,0x106D,0x1079,exact,0x106F,exact,0x1079,exact,0x1079,exact
PrintRivalName,0x1074,0x1080,exact,0x1076,exact,0x1080,exact,0x1080,exact
PrintRedsName,0x107B,0x1087,exact,0x107D,exact,0x1087,exact,0x1087,exact
PrintGreensName,0x1082,0x108E,exact,0x1084,exact,0x108E,exact,0x108E,exact
TrainerChar,0x1089,0x1095,exact,0x108B,exact,0x1095,exact,0x1095,exact
TMChar,0x1090,0x109C,exact,0x1092,exact,0x109C,exact,0x109C,exact
PCChar,0x1097,0x10A3,exact,0x1099,exact,0x10A3,exact,0x10A3,exact
RocketChar,0x109E,0x10AA,exact,0x10A0,exact,0x10AA,exact,0x10AA,exact
PlacePOKe,0x10A5,0x10B1,exact,0x10A7,exact,0x10B1,exact,0x10B1,exact
PlaceKougeki,0x10AC,0x10B8,exact,0x10AE,exact,0x10B8,exact,0x10B8,exact
SixDotsChar,0x10B3,0x10BF,exact,0x10B5,exact,0x10BF,exact,0x10BF,exact
PlacePKMN,0x10BA,0x10B1,exact,0x10BC,exact,0x10B8,exact,0x10B1,exact
PlacePOKE,0x10C1,0x10B8,exact,0x10C3,exact,0x10BF,exact,0x10B8,exact
PlaceJPRoute,0x10C8,0x10BF,exact,0x10CA,exact,0x10C6,exact,0x10BF,exact
PlaceWatashi,0x10CF,0x10C6,exact,0x10D1,exact,0x10CD,exact,0x10C6,exact
PlaceKokoWa,0x10D6,0x10CD,exact,0x10D8,exact,0x10D9,exact,0x10CD,exact
PlaceMoveTargetsName,0x10DD,0x10EE,exact,0x10DF,exact,0x10EE,exact,0x10EE,exact
PlaceMoveUsersName,0x10E3,0x10F4,exact,0x10E5,exact,0x10F4,exact,0x10F4,exact
PlaceBattlersName,0x10E5,0x10F6,exact,0x10E7,exact,0x10F6,exact,0x10F6,exact
PlaceEnemysName,0x10FB,0x110C,exact,0x10FD,exact,0x1104,near_prev,0x110C,exact
PlaceCommandCharacter,0x1132,0x1143,exact,0x1131,exact,0x1140,exact,0x1143,exact
TMCharText,0x113B,0x114C,exact,0x113B,exact,0x114A,exact,0x114D,exact
NextLineChar,0x116D,0x1181,exact,0x116E,exact,0x117E,exact,0x1181,exact
LineFeedChar,0x1176,0x118A,exact,0x1177,exact,0x1187,exact,0x118A,exact
