a,b,different_bytes,different_ranges,first_diff,last_diff
jp-rev0,jp-revA,5,2,0x014C,0x3C6B
jp-rev0,kr,15052,379,0x0009,0x3FB8
jp-rev0,en,14935,368,0x0009,0x3FED
jp-rev0,de,14921,345,0x0009,0x3FE4
jp-rev0,fr,14859,308,0x0009,0x3F7C
jp-rev0,it,14925,328,0x0009,0x3FDC
jp-rev0,es,14807,366,0x0009,0x3F8E
jp-revA,kr,15053,379,0x0009,0x3FB8
jp-revA,en,14936,368,0x0009,0x3FED
jp-revA,de,14922,345,0x0009,0x3FE4
jp-revA,fr,14860,308,0x0009,0x3F7C
jp-revA,it,14925,329,0x0009,0x3FDC
jp-revA,es,14808,366,0x0009,0x3F8E
kr,en,14820,390,0x0009,0x3FED
kr,de,14971,421,0x0009,0x3FE4
kr,fr,14978,398,0x0009,0x3FB8
kr,it,14947,442,0x0009,0x3FDC
kr,es,14946,424,0x0009,0x3FB8
en,de,11991,329,0x0009,0x3FED
en,fr,11944,385,0x0009,0x3FED
en,it,11943,400,0x0009,0x3FED
en,es,12071,346,0x0009,0x3FED
de,fr,12014,365,0x0009,0x3FE4
de,it,11579,505,0x0009,0x3FE4
de,es,10922,343,0x0009,0x3FE4
fr,it,11951,374,0x0009,0x3FDC
fr,es,11800,341,0x0009,0x3F8E
it,es,11856,263,0x0009,0x3FDC
