module,en_start,jp-rev0,jp-rev0_confidence,jp-revA,jp-revA_confidence,kr,kr_confidence,en,en_confidence,de,de_confidence,fr,fr_confidence,it,it_confidence,es,es_confidence
queue_script,0x3423,0x3385,exact,0x3385,exact,0x3490,exact,0x3423,reference,0x341A,exact,0x33CE,exact,0x3412,exact,0x33E0,exact
compare,0x3431,0x3393,exact,0x3393,exact,0x349E,exact,0x3431,reference,0x3428,exact,0x33DC,exact,0x3420,exact,0x33EE,exact
tilemap,0x3449,0x33AB,exact,0x33AB,exact,0x34B6,exact,0x3449,reference,0x3440,exact,0x33F4,exact,0x3438,exact,0x3406,exact
pokedex_flags,0x35C3,0x3525,exact,0x3525,exact,0x3598,exact,0x35C3,reference,0x35BA,exact,0x356E,exact,0x35B2,exact,0x3580,exact
names,0x35EE,0x3550,inferred_same_delta,0x3550,inferred_same_delta,0x35C3,exact,0x35EE,reference,0x35E5,exact,0x3599,exact,0x35DD,exact,0x35AB,exact
scrolling_menu,0x3751,0x36B5,exact,0x36B5,exact,0x373A,exact,0x3751,reference,0x3748,exact,0x36FC,exact,0x3740,exact,0x370E,exact
stone_queue,0x37AC,0x3710,exact,0x3710,exact,0x3795,exact,0x37AC,reference,0x37A3,exact,0x3757,exact,0x379B,exact,0x3769,exact
trainers,0x3844,0x37A8,exact,0x37A8,exact,0x382D,exact,0x3844,reference,0x383B,exact,0x37EF,exact,0x3833,exact,0x3801,exact
pokemon,0x39BA,0x391E,exact,0x391E,exact,0x39A3,exact,0x39BA,reference,0x39B1,exact,0x3965,exact,0x39A9,exact,0x3977,exact
print_bcd,0x3ADE,0x3A42,exact,0x3A42,exact,0x3AC7,exact,0x3ADE,reference,0x3AD5,exact,0x3A89,exact,0x3ACD,exact,0x3A9B,exact
battle,0x3B3A,0x3A7D,exact,0x3A7D,exact,0x3B07,exact,0x3B3A,reference,0x3B31,exact,0x3AC9,exact,0x3B29,exact,0x3ADB,exact
sprite_anims,0x3D0D,0x3C2E,exact,0x3C2E,exact,0x3CD8,exact,0x3D0D,reference,0x3D04,exact,0x3C9C,exact,0x3CFC,exact,0x3CAE,exact
audio,0x3D4F,0x3C70,exact,0x3C70,exact,0x3D1A,exact,0x3D4F,reference,0x3D46,exact,0x3CDE,exact,0x3D3E,exact,0x3CF0,exact
