bank,file_start,file_end,cpu_start,cpu_end,classification,status,confidence,source_sha256,notes
0x00,0x000000,0x003fff,0x0000,0x3fff,header-and-code,fingerprinted,high,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=9b027ca15c252f77ac62534216e26c03a49cae3eddbc934c047cebe7c923974f; entropy=6.983864; unique_bytes=256; zero_bytes=875; ff_bytes=105
0x01,0x004000,0x007fff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=0741b6005eab4791a72db88797b931c24d72cbc784526164178ce4a82f961c24; entropy=6.878837; unique_bytes=256; zero_bytes=1767; ff_bytes=104
0x02,0x008000,0x00bfff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=6c85fead86b9a915284ef55dbf41a5aaafabeaa6cca6eb3bb0e6e8366b16852f; entropy=6.569506; unique_bytes=255; zero_bytes=2930; ff_bytes=595
0x03,0x00c000,0x00ffff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=a61d8a66e766322e65f4f4e905a7b1a6c9a0eb450d4287e7477b00a189d17cb3; entropy=7.152923; unique_bytes=255; zero_bytes=569; ff_bytes=132
0x04,0x010000,0x013fff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=c9fad5c030798b1c99a27126c09bd5201863fb3c1d73b6d0df36a4dbf3ea8e7b; entropy=7.037864; unique_bytes=256; zero_bytes=910; ff_bytes=786
0x05,0x014000,0x017fff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=4d1bab7f33aba6ecde0db7a433b6f4cbd23d81929f495c23ab2e54436b740df6; entropy=7.204842; unique_bytes=256; zero_bytes=655; ff_bytes=322
0x06,0x018000,0x01bfff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=5700c5ecee7d99cb9f82f5219512d88d2800ea4510fda27d40139535a79897c8; entropy=6.492214; unique_bytes=256; zero_bytes=1386; ff_bytes=351
0x07,0x01c000,0x01ffff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=3ff01f0be31579d1c7369e057880fbfe0d0bc7af3bfab93e22762d662f9a3be5; entropy=6.566044; unique_bytes=256; zero_bytes=1633; ff_bytes=873
0x08,0x020000,0x023fff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=f2fb50323c647a7be1ae6d154772b925f09f01f63b3dbdf0f3135542a7d9d8b8; entropy=6.583655; unique_bytes=256; zero_bytes=2005; ff_bytes=1276
0x09,0x024000,0x027fff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=d5739bfa998ec890553e67f78975ec8fa798de0c48755029df640f9b8ac8e2fc; entropy=7.169569; unique_bytes=256; zero_bytes=1140; ff_bytes=365
0x0a,0x028000,0x02bfff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=88a9a114fdf10dcc743a9832132cf3a5400bbbd632423f50c368224c488fe8a7; entropy=7.08537; unique_bytes=252; zero_bytes=567; ff_bytes=111
0x0b,0x02c000,0x02ffff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=ca044ad44213b06ed284d97ebbb442d87f8f6c23ab7950e7a136fb7f2eb4d236; entropy=6.765025; unique_bytes=254; zero_bytes=998; ff_bytes=17
0x0c,0x030000,0x033fff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=a22dd0b839a1b26e85c6e53a9fec54b54a4ca0fbacb226fa127359a263736d47; entropy=6.468876; unique_bytes=256; zero_bytes=2238; ff_bytes=788
0x0d,0x034000,0x037fff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=94acb242b373598638fccff9cee793bf30e3d950bd341f8644ebe612e6a8d5a2; entropy=6.893772; unique_bytes=256; zero_bytes=179; ff_bytes=99
0x0e,0x038000,0x03bfff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=d71a1e09d9cd038428dd55e2beca350a8149caef05488695b8f72640ecb71942; entropy=7.329174; unique_bytes=256; zero_bytes=931; ff_bytes=519
0x0f,0x03c000,0x03ffff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=bea887f93ea77619c7953498fe79d647982b6de00a85fe3a436c26b1e6fa31fb; entropy=7.003987; unique_bytes=256; zero_bytes=539; ff_bytes=143
0x10,0x040000,0x043fff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=27f9208987e5dc61dbc062bc96858d2639fa822836cb74e75eec1f3f4b834917; entropy=7.305549; unique_bytes=256; zero_bytes=1144; ff_bytes=309
0x11,0x044000,0x047fff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=cbffe012f98434308483ab70fbc10334c1bbda31d9784bd89ed6e59dc6c68f7f; entropy=6.792662; unique_bytes=254; zero_bytes=316; ff_bytes=14
0x12,0x048000,0x04bfff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=a4bc92e1fea906007baffcddde13dcb6f9fbc983b2174d53fdc12b9e9a014d23; entropy=7.202108; unique_bytes=256; zero_bytes=602; ff_bytes=843
0x13,0x04c000,0x04ffff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=451dcf6ab45ef4a8708d5d30aa236c748070480bf532df85e769363df97994d6; entropy=6.954328; unique_bytes=255; zero_bytes=1142; ff_bytes=318
0x14,0x050000,0x053fff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=d02f80aceae10d1dcae7ddaa33ed987b1a24de4e9af1f608d87949f141530d38; entropy=6.973741; unique_bytes=256; zero_bytes=2212; ff_bytes=122
0x15,0x054000,0x057fff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=05c594320b66475a30e95b1a72ad90fa72214eac5a46ab8596745fb3585d0071; entropy=7.057159; unique_bytes=256; zero_bytes=681; ff_bytes=967
0x16,0x058000,0x05bfff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=5c88f829576d829c9630431774b53124f384080509fded5657b684cd32b98477; entropy=7.022225; unique_bytes=256; zero_bytes=792; ff_bytes=857
0x17,0x05c000,0x05ffff,0x4000,0x7fff,unclassified,fingerprinted,low,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,bank_sha256=63498484244571f502cb749d2cb6b38741f807e44af2d1b40f141d087e00597e; entropy=6.985775; unique_bytes=256; zero_bytes=784; ff_bytes=935
