id,region,language,revision,status,size,sha1,sha256,notes
kin-jp-rev0,Japan,Japanese,0,candidate,1048576,8814f1039450a5d3684b1389f588ccd7ee7c3436,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,"Header POKEMON_GLDAAUJ; CGB 0x80; SGB 0x03; checksum 0x48; global 0x8a70"
kin-jp-rev1,Japan,Japanese,1,candidate,1048576,a222402235d484ee8e39f3f31bae57cf13daf585,27a07a1d3faf9c6a0b1b60d5e88ee3a4159a751a47b4c46ab09f1202d52bac3e,"Header POKEMON_GLDAAUJ; CGB 0x80; SGB 0x03; checksum 0x47; global 0x8460"
gold-ko-rev0,Korea,Korean,0,candidate,2097152,c0ff3999e1093e1af59ef3eea3f1bfd7c1f18a65,9c273e86e6120c6a038160ccb0153b8b20425b84fc08a496281c1d1bcac492f6,"Header POKEMON_GLDAAUK; CGB 0xc0; SGB 0x00; checksum 0x08; global 0x778a"
gold-en-rev0,USA/Europe,English,0,candidate,2097152,d8b8a3600a465308c9953dfa04f0081c05bdcb94,fb0016d27b1e5374e1ec9fcad60e6628d8646103b5313ca683417f52b97e7e4e,"Header POKEMON_GLDAAUE; CGB 0x80; SGB 0x03; checksum 0x4b; global 0x682d"
gold-de-rev0,Germany,German,0,candidate,2097152,9254195d461ea942eaaa08cc4b83de3cf82aea0d,542f275f8632ef5265e5cde80a8ba1f0ec11ce714ef9d773088a92680bd17d73,"Header POKEMON_GLDAAUD; CGB 0x80; SGB 0x03; checksum 0x4c; global 0xdc97"
gold-es-rev0,Spain,Spanish,0,candidate,2097152,162ea54c6a3cff374642e6dd842f9bffac847e7b,7b78e33a348a0729e38ee0fd778cf49b3e07c35d2175ebc74d8f9be41f41455b,"Header POKEMON_GLDAAUS; CGB 0x80; SGB 0x03; checksum 0x3d; global 0x9353"
gold-fr-rev0,France,French,0,candidate,2097152,c147c0d8c2b71b7628a7233436f5c052b5b17081,6103cadf2ae505f4b489a8a414c8db27a2307d797ddf8a3a848659b591dd4023,"Header POKEMON_GLDAAUF; CGB 0x80; SGB 0x03; checksum 0x4a; global 0x6fc6"
gold-it-rev0,Italy,Italian,0,candidate,2097152,032608fe8947b627584a4a0eccc7bf9ad3588426,367e606f82b9e2e16d0cc8011c5ba2df1862da574e57ffd66e786a82af5b6e22,"Header POKEMON_GLDAAUI; CGB 0x80; SGB 0x03; checksum 0x47; global 0xce0c"

